state,bill_id,bill_number,title,date,status,session,link
LA,2027637,SCR22,"Requests the adoption of enhanced regional transmission planning processes that use a multi-scenario, multi-value framework to ensure long-term national security, grid reliability, and resilience.",2025-04-30,1,2025 Regular Session,https://legiscan.com/LA/bill/2027637
WI,2027050,AB228,Tax incremental financing districts containing qualified data centers. (FE),2025-04-29,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2027050
TX,2026757,HB5692,"Relating to the creation of the Palangana Energy District; granting a limited power of eminent domain; providing authority to issue bonds; providing authority to impose assessments, fees, and taxes.",2025-04-28,1,89th Legislature Regular Session,https://legiscan.com/TX/bill/2026757
WI,2026729,SB223,"Discrimination in employment, housing, public accommodations, education, insurance coverage, national guard, jury duty, and adoption and in the receipt of mental health or vocational rehabilitation services.",2025-04-25,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2026729
LA,2026334,HB674,Provides for revisions to the Code of Governmental Ethics,2025-04-24,4,2025 Regular Session,https://legiscan.com/LA/bill/2026334
MI,2026382,HB4393,"Environmental protection: hazardous waste; environmental protection; landfills; disposal fees; increase, and limit certain disposal wells and TENORM disposal. Amends secs. 11102, 11103, 11104, 11108, 11109, 11110, 11125, 11132, 11514b, 11525a, 62501 & 62509 of 1994 PA 451 (MCL 324.11102 et seq.); adds secs. 11122, 62508b & 62509d & repeals secs. 11111 & 11112 of 1994 PA 451 (MCL 324.11111 & 324.11112).",2025-04-24,1,103rd Legislature,https://legiscan.com/MI/bill/2026382
MN,2025969,HF3229,"Spent fuel located at Prairie Island required to be transferred to another site for storage, additional storage authorized to be constructed at the Monticello nuclear generating plant, public utility authorized to withhold money from the renewable development account to pay for the cost to transport spent fuel.",2025-04-23,1,94th Legislature 2025-2026,https://legiscan.com/MN/bill/2025969
LA,2026231,HB666,Reduces individual and corporate income tax rates and imposes sales and use tax on certain services,2025-04-23,1,2025 Regular Session,https://legiscan.com/LA/bill/2026231
MI,2025978,SB0246,"Environmental protection: hazardous waste; environmental protection; landfills; disposal fees; increase, and limit certain disposal wells and TENORM disposal. Amends secs. 11102, 11103, 11104, 11108, 11109, 11110, 11125, 11132, 11514b, 11525a, 62501 & 62509 of 1994 PA 451 (MCL 324.11102 et seq.); adds secs. 11122, 62508b & 62509d & repeals secs. 11111 & 11112 of 1994 PA 451 (MCL 324.11111 & 324.11112).",2025-04-23,2,103rd Legislature,https://legiscan.com/MI/bill/2025978
WI,2026156,AB220,"Discrimination in employment, housing, public accommodations, education, insurance coverage, national guard, jury duty, and adoption and in the receipt of mental health or vocational rehabilitation services.",2025-04-23,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2026156
MI,2025571,HB4375,Use tax: exemptions; offset of the trade in value of personal electronics; provide for. Amends sec. 2 of 1937 PA 94 (MCL 205.92). TIE BAR WITH: HB 4376'25,2025-04-22,1,103rd Legislature,https://legiscan.com/MI/bill/2025571
LA,2025597,HB2,Provides for the comprehensive Capital Outlay budget,2025-04-22,4,2025 Regular Session,https://legiscan.com/LA/bill/2025597
MI,2025621,HB4361,Public utilities: other; guidelines for trimming trees and branches around power lines; modify. Amends sec. 10p of 1939 PA 3 (MCL 460.10p).,2025-04-22,1,103rd Legislature,https://legiscan.com/MI/bill/2025621
MI,2024947,HB4343,Traffic control: violations; certain trucks assisting in a state of emergency; exempt from frost laws. Amends sec. 722 of 1949 PA 300 (MCL 257.722).,2025-04-17,2,103rd Legislature,https://legiscan.com/MI/bill/2024947
IA,2024992,HF1031,A bill for an act relating to county recorder fees and land record information systems management. (Formerly HF 328.),2025-04-17,2,91st General Assembly,https://legiscan.com/IA/bill/2024992
IA,2025021,HF1028,"A bill for an act relating to matters under the purview of the department of management, making appropriations, and including applicability provisions. (Formerly HF 756, HSB 72.)",2025-04-17,2,91st General Assembly,https://legiscan.com/IA/bill/2025021
LA,2024405,HB638,Establishes agricultural conversion fees for large-scale solar development (EG SEE FISC NOTE SD RV),2025-04-16,1,2025 Regular Session,https://legiscan.com/LA/bill/2024405
WI,2024496,SB203,"Regulation of pharmacy benefit managers, fiduciary and disclosure requirements on pharmacy benefit managers, and application of prescription drug payments to health insurance cost-sharing requirements. (FE)",2025-04-16,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2024496
LA,2024557,HB637,Establishes habitat conversion fees for large-scale solar development,2025-04-16,1,2025 Regular Session,https://legiscan.com/LA/bill/2024557
WI,2023980,AB193,Ratification of the Respiratory Care Interstate Compact. (FE),2025-04-15,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2023980
WI,2023699,AB174,"Transmission facilities; installation of large wind energy, large solar energy, and battery energy storage systems; installation of light-mitigating technology systems; and prioritizing nuclear energy resources. (FE)",2025-04-14,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2023699
WI,2023647,SB190,Ratification of the Respiratory Care Interstate Compact. (FE),2025-04-14,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2023647
AR,2023838,SB645,To Conduct A Study Related To Critical Minerals.,2025-04-14,1,95th General Assembly (2025 Regular),https://legiscan.com/AR/bill/2023838
MN,2021785,SF3363,Spent fuel located at Prairie Island requirement to be transferred to another site for storage,2025-04-09,1,94th Legislature 2025-2026,https://legiscan.com/MN/bill/2021785
WI,2021959,AB173,"Regulation of pharmacy benefit managers, fiduciary and disclosure requirements on pharmacy benefit managers, and application of prescription drug payments to health insurance cost-sharing requirements. (FE)",2025-04-09,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2021959
WI,2021893,AB172,Consumer data protection and providing a penalty. (FE),2025-04-09,1,2025-2026 Regular Session,https://legiscan.com/WI/bill/2021893
AR,2022376,SB639,To Create The Arkansas Wind Energy Development Act.,2025-04-09,6,95th General Assembly (2025 Regular),https://legiscan.com/AR/bill/2022376
MN,2020428,SF3332,"Sales and use tax exemptions elimination, gross receipts tax on various services imposition",2025-04-07,1,94th Legislature 2025-2026,https://legiscan.com/MN/bill/2020428
IA,2021043,HF987,"A bill for an act providing for the processing of organic material into renewable fuel and digestate, providing fees, and providing penalties.(Formerly HSB 322.)",2025-04-07,1,91st General Assembly,https://legiscan.com/IA/bill/2021043
LA,2020486,HB553,Prohibits the exercise of eminent domain or unitization for a pipeline that carries carbon dioxide,2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020486
LA,2020882,SB193,Provides for the Dept. of Energy and Natural Resources. (8/1/25),2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020882
LA,2020734,HB583,"Establishes state policy regarding affordable, reliable energy and grid resilience (OR INCREASE GF EX See Note)",2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020734
LA,2020188,HB459,Provides for renewable energy regulation and permitting,2025-04-04,4,2025 Regular Session,https://legiscan.com/LA/bill/2020188
LA,2020535,HB472,"(Constitutional Amendment) Revises Article VII of the Constitution of La. (OR -$139,000,000 GF RV See Note)",2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020535
LA,2020499,HB518,"Provides relative to rates, computation, and administration of severance tax on oil, gas, and other natural resources (EN NO IMPACT GF RV See Note)",2025-04-04,4,2025 Regular Session,https://legiscan.com/LA/bill/2020499
LA,2020312,SB127,Provides relative to permitting for advanced nuclear power generation. (8/1/25) (EN NO IMPACT See Note),2025-04-04,4,2025 Regular Session,https://legiscan.com/LA/bill/2020312
LA,2020317,HB460,Makes supplemental appropriations for Fiscal Year 2024-2025,2025-04-04,4,2025 Regular Session,https://legiscan.com/LA/bill/2020317
LA,2020835,HB623,Provides relative to the Louisiana Motor Vehicle Commission,2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020835
TX,2020277,HR788,"Recognizing April 10, 2025, as Texas Nuclear Legislative Day at the State Capitol.",2025-04-04,4,89th Legislature Regular Session,https://legiscan.com/TX/bill/2020277
LA,2020793,HB632,Protects mineral servitude ownership in relation to carbon dioxide sequestration,2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020793
LA,2020366,HB1,Provides for the ordinary operating expenses of state government for Fiscal Year 2025-2026,2025-04-04,4,2025 Regular Session,https://legiscan.com/LA/bill/2020366
LA,2020775,HB601,Provides relative to carbon dioxide sequestration,2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020775
LA,2020774,SB229,Provides for for function of government. (2/3-CA7s2.1(A)) (8/1/25) (OR INCREASE GF EX See Note),2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020774
MT,2020412,HJ46,Study resolution on data centers,2025-04-04,6,2025 Regular Session,https://legiscan.com/MT/bill/2020412
LA,2020781,HB615,Provides for the regulation of solar facilities (EG INCREASE SD EX See Note),2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020781
LA,2020878,HB634,To provide relative to remediation of oilfield sites (OR SEE FISC NOTE SD RV See Note),2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020878
LA,2020587,HB578,Provides with respect to state and local sales and use taxes and exemptions to those taxes (EN DECREASE GF RV See Note),2025-04-04,4,2025 Regular Session,https://legiscan.com/LA/bill/2020587
LA,2020379,HB464,(Constitutional Amendment) Limits eligibility of solar facilities from participating in the ad valorem tax exemption program known commonly as ITEP (OR SEE FISC NOTE LF RV),2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020379
LA,2020840,HB599,Relative to finances of the state (OR SEE FISC NOTE GF RV),2025-04-04,1,2025 Regular Session,https://legiscan.com/LA/bill/2020840
